sum(profit),year(order_date)
3244,2004
2460,2010
1088,2016
671,2027
-1144,2001
1394,2025
1824,2021
420,2011
597,2029
-84,2006
296,2028
505,2020
1880,2019
4398,2008
1882,2030
-662,2014
1722,2013
1793,2003
1,2007
2157,2026
597,2002
3555,2018
1465,2012
1755,2005
2463,2009
-1630,2022
1008,2015
2797,2024
1257,2023
-111,2031
-635,2017
